id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
707963,Studio just below Prague Castle,3640353,Anezka,,Praha 1,50.08879,14.40003,Entire home/apt,1771,2,116,2024-12-25,0.79,1,298,9,
708571,RUSTIC2 APARTMENTS IN⭐️ PRAGUE ⭐️CENTER⭐️,3279605,Elena And Kira,,Praha 2,50.07504,14.43163,Entire home/apt,,1,124,2023-12-08,0.83,16,364,0,
711288,"""APARTMENT 43"" IN CENTER OF PRAGUE",3228013,Kira And Irina,,Praha 2,50.07397,14.43056,Entire home/apt,1973,1,65,2024-08-24,0.43,34,351,3,
733462,NEW TOWN - Studio Balcony,3287258,David,,Praha 1,50.07984,14.42627,Private room,1372,1,17,2023-09-25,0.18,25,216,0,
735375,Apartment Audrey,3763896,Evgeny,,Praha 1,50.07822,14.42178,Entire home/apt,1366,2,225,2025-02-01,1.51,14,237,2,
747785,"""ALICE APARTMENT"" PRAGUE CENTER!",3228013,Kira And Irina,,Praha 2,50.07397,14.43056,Entire home/apt,1802,1,147,2024-12-28,0.98,34,307,13,
747830,"❤️""APARTMENT №55"" IN ❤️CENTER OF PRAGUE❤️",3228013,Kira And Irina,,Praha 2,50.07397,14.43056,Entire home/apt,4075,1,24,2024-09-16,0.16,34,355,5,
757660,"Prague, a room with private kitchen",3990737,Renata,,Praha 6,50.08247,14.32032,Private room,1029,2,55,2024-08-16,0.37,4,295,2,
760597,Apt. with terrace GARSONKA 3,3456260,Dagmar,,Praha 8,50.09124,14.44153,Entire home/apt,1252,4,83,2024-08-20,0.58,1,89,1,
777881,"Central,Cheap,2Rooms,2Baths,WIFI #1",4102236,Bonny,,Praha 3,50.08612,14.44505,Entire home/apt,1655,2,3,2015-05-03,0.02,6,3,0,
780659,"Central,Cheap,2Rooms,2Baths,WIFI #2",4102236,Bonny,,Praha 3,50.0858,14.4472,Entire home/apt,1374,2,9,2025-03-10,0.06,6,1,1,
782440,"Central,Cheap&Lovely Miniapartment2",4102236,Bonny,,Praha 3,50.08704,14.44539,Private room,860,3,414,2025-03-02,2.79,6,5,52,
782489,"Central,Cheap&Lovely Miniapartment3",4102236,Bonny,,Praha 3,50.08525,14.44513,Private room,629,3,389,2025-03-01,2.67,6,3,47,
782770,"Central,Cheap&Lovely Miniapartment4",4102236,Bonny,,Praha 3,50.0852,14.44644,Private room,772,3,381,2025-02-23,2.58,6,6,52,
790196,Chic Apartment walk to Old Town Square,1240390,Sarah,,Praha 1,50.0815,14.42123,Entire home/apt,2389,1,766,2025-03-15,5.13,19,294,49,
797201,Studio in history Old Town Square,1556914,Eugenia,,Praha 1,50.08787,14.42235,Entire home/apt,1768,2,10,2024-12-25,0.07,1,277,1,
814677,Kozna Loft A 2-Bedrooms (Prague Old Town),9345552,Romana,,Praha 1,50.08588,14.42116,Entire home/apt,2656,2,56,2024-07-31,0.42,44,241,3,
814687,Kozna Loft D 2-Bedrooms (Old Town),9345552,Romana,,Praha 1,50.08588,14.42116,Entire home/apt,2882,2,18,2024-12-07,0.15,44,268,2,
814691,"Kozna Loft B 3-Bedrooms, 2-Bathrooms (Old Town)",9345552,Romana,,Praha 1,50.08588,14.42116,Entire home/apt,3496,2,169,2025-01-12,1.18,44,243,17,
814705,"Kozna Loft AB 5-Bedrooms, 3-Bathrooms (Old Town)",9345552,Romana,,Praha 1,50.08588,14.42116,Entire home/apt,6917,2,77,2025-01-27,0.54,44,210,19,
818081,Room in the Center of Old Town,4279290,Vincent,,Praha 1,50.09014,14.42619,Private room,671,2,838,2025-02-28,5.64,12,201,66,
820954,Featured Telegraph NP VIEWS of Ch-Bridge 1st floor,3961711,MJMorris S.R.O. /Veronika And Ilan,,Praha 1,50.08754,14.40874,Entire home/apt,6393,1,243,2025-03-11,1.74,2,153,40,
822456,Naplavka apartment,383698,Veronika,,Praha 2,50.07692,14.41433,Entire home/apt,2012,1,148,2025-02-26,1.06,36,308,39,
843670,"Cozy 2BR at Mustek, Heart of Prague",4404457,Michal,,Praha 1,50.08431,14.423,Entire home/apt,2561,3,193,2025-02-23,1.30,1,24,15,
847192,APARTMAN FAMILY IN PRAGUE CENTER 2,3279605,Elena And Kira,,Praha 2,50.07489,14.43138,Entire home/apt,,1,99,2022-11-03,0.68,16,343,0,
874150,"Charming family B&B, breakfast inl.",1366084,Jakub,,Praha 1,50.08754,14.39813,Private room,,2,41,2024-08-18,0.37,7,0,1,
874212,Apartment Letna I - Prague Centrum,4615124,Julius,,Praha 7,50.10039,14.4313,Entire home/apt,1531,3,76,2025-01-04,0.53,2,42,5,
874482,Apartment Letna II - Prague Centrum,4615124,Julius,,Praha 7,50.09884,14.42953,Entire home/apt,2171,3,67,2025-01-02,0.46,2,46,8,
876329,Bed and breakfast suite,1366084,Jakub,,Praha 1,50.0876,14.39812,Private room,,2,26,2025-01-05,0.25,7,0,1,
882759,BELLEZZA APARTMENT IN PRAGUE CENTER,3228013,Kira And Irina,,Praha 2,50.07397,14.43056,Entire home/apt,2077,1,71,2024-09-02,0.48,34,364,2,
888475,*One Bedroom Apartment*,4711560,Clown And Bard,,Praha 3,50.08267,14.44669,Entire home/apt,,1,136,2025-02-23,0.97,9,11,3,
933489,"""APARTMENT №54"" IN CENTER OF PRAGUE",3228013,Kira And Irina,,Praha 2,50.07397,14.43056,Entire home/apt,2077,1,114,2024-12-02,0.80,34,281,20,
933583,★STUDIO★ APARTMENT IN ♥PRAGUE♥ CENTER★,3228013,Kira And Irina,,Praha 2,50.07397,14.43056,Entire home/apt,4074,1,210,2024-10-26,1.44,34,338,5,
933836,HOTEL IN PRAGUE CENTER,3228013,Kira And Irina,,Praha 2,50.0706,14.43003,Entire home/apt,2112,1,173,2025-02-12,1.19,34,353,4,
935534,Comfy apartment in central Prague,48087076,Eva,,Praha 4,50.05958,14.42289,Entire home/apt,1067,2,206,2025-01-05,1.55,1,105,32,
939413,💙BOOK NOW💙BIG STUDIO IN PRAGUE CENTER💙,3279605,Elena And Kira,,Praha 2,50.07368,14.4294,Entire home/apt,4910,1,161,2025-01-02,1.10,16,321,3,
970935,"Apartman Siroka 14, Prag 1 Old Town",5306055,Alan,,Praha 1,50.09015,14.41849,Entire home/apt,1671,1,206,2025-03-09,1.42,2,223,27,
976660,Letenský Montmartre - apartament 2a,3321411,Kateřina,,Praha 7,50.10003,14.41659,Entire home/apt,1628,3,136,2024-11-08,0.93,4,157,17,
977301,STUDIO2 APARTMENTS IN PRAGUE CENTER,3228013,Kira And Irina,,Praha 2,50.07397,14.43056,Entire home/apt,1897,1,142,2023-12-16,0.98,34,355,0,
987875,Artistic & Comfortable Flat Near Centre of Prague,5421290,Lenka Lorien,,Praha 14,50.10851,14.5387,Private room,1734,2,19,2023-06-10,0.15,1,365,0,
991924,Central Old Town-Own Sink+Shower,4279290,Vincent,,Praha 1,50.09143,14.4281,Private room,589,2,620,2025-02-24,4.26,12,298,44,
993197,Prague5Apartment *GREAT LOCATION*PARKING*Spring 25,5455963,Luci,,Praha 5,50.06521,14.35803,Entire home/apt,2550,2,24,2025-03-01,0.17,2,364,9,
994758,Modern Apt. in Centre Charles Bridge 15min walk,5463516,Zuzana & Seven Keys Team,,Praha 5,50.07705,14.40825,Entire home/apt,1738,1,453,2025-02-21,3.14,74,181,41,
995953,Cozy attic apartment for 4 persons,5471587,Milada,,Praha 2,50.06524,14.42953,Entire home/apt,1174,1,202,2020-01-26,1.40,1,0,0,
1000103,In between parks and close to town,350742,Milana,,Praha 7,50.101610288785814,14.429512329504329,Entire home/apt,1494,3,39,2024-12-22,0.27,1,118,13,
1000340,Big 3 rooms flat longterm f students Prague center,5499789,Pecunia,,Praha 1,50.0824,14.42333,Entire home/apt,1717,21,106,2021-09-06,0.77,1,228,0,
1015821,"Superb location, romantic, Wi-Fi",5589792,Eva,,Praha 1,50.08687,14.39608,Entire home/apt,1533,30,42,2024-08-21,0.32,3,191,6,
1020234,HOME SWEET HOME in heart of Prague,227945,Alex And Kate,,Praha 1,50.08478,14.42096,Entire home/apt,1876,2,572,2025-03-09,3.93,101,51,65,
1043941,Appartment by VYSEHRAD 15 min to Prague centre,5746830,Michaela A Jan,,Praha 4,50.0638,14.43642,Entire home/apt,4000,2,110,2024-11-03,0.76,1,172,6,
1064538,Apartmá kompletně vybaveny s klimatizací,5858896,Tomas,,Praha 9,50.10757,14.50244,Private room,,2,6,2024-06-03,0.06,1,0,2,
1064766,new apartment 10min.from the cent.,5859805,David,,Praha 7,50.10569,14.43433,Entire home/apt,1000,2,841,2025-03-13,5.82,1,146,80,
1072946,"Flat-20min to center,O2 arena 1,5km",5902035,Andrea,,Praha 9,50.09532716485353,14.50264386959819,Entire home/apt,2688,3,64,2024-12-09,0.45,2,345,7,
1073417,Prague Center San Wenceslao,5904742,Giuseppe,,Praha 1,50.07822,14.42362,Entire home/apt,4820,3,30,2024-12-09,0.25,1,270,1,
1081430,"Kozi Loft 3-Bedrooms, 2-Bathrooms (Old Town)",9345552,Romana,,Praha 1,50.08977,14.42237,Entire home/apt,3657,2,326,2025-02-21,2.27,44,270,49,
1101093,WEEKEND A PRAGUE!!,6047750,Marketa,,Praha 7,50.10398,14.44845,Entire home/apt,1395,3,160,2025-03-02,1.11,1,113,26,
1103679,Apartment just 10' to the old town,6061627,Katerina,,Praha 3,50.08818,14.46965,Entire home/apt,944,6,11,2017-01-04,0.08,1,70,0,
1111076,"Suite Prague Apartment - Duplex, with Terrace",6095154,Robert,,Praha 1,50.08143,14.42135,Entire home/apt,2436,3,176,2025-02-18,1.22,2,145,15,
1116016,"The summer in Prague, Capital of CZ",6125001,Luboš,,Praha 8,50.13338,14.46444,Entire home/apt,893,1,292,2025-03-11,2.05,1,199,42,
1143098,Kozi Loft Atelier 1-Bedroom (Prague Old Town),9345552,Romana,,Praha 1,50.08977,14.42237,Entire home/apt,1850,2,284,2025-02-22,2.04,44,343,43,
1151056,Vintage Prague at Old Town Sq. with Fireplace,6308722,Sabina,,Praha 1,50.08754,14.41994,Entire home/apt,3132,2,647,2025-02-27,4.52,2,154,55,
1153832,Grand Luxury Attic Hastalska - Old Town Square,1660663,Rached,,Praha 1,50.09169,14.42618,Entire home/apt,6188,3,185,2025-01-19,1.30,7,265,18,
1165444,STUDIO4 ❤️APARTMENTS❤️  IN ⭐️ PRAGUE CENTRE ⭐️,3279605,Elena And Kira,,Praha 2,50.07283,14.4296,Entire home/apt,5391,1,145,2023-12-13,1.02,16,364,0,
1167382,"Superb location,romantic loft,Wi-Fi",5589792,Eva,,Praha 1,50.08827,14.39989,Entire home/apt,1981,30,135,2025-01-03,0.96,3,356,6,
1169103,Family Apartment  AM,6401971,Jiri,,Praha 2,50.07183074951172,14.438589096069336,Entire home/apt,4300,1,6,2023-06-01,0.14,19,293,0,
1184697,You Will Save Money Here -Whole Apt,3590595,Pavel,,Praha 4,50.04435,14.45453,Entire home/apt,2824,3,34,2022-04-28,0.24,2,325,0,
1200137,Dreams of Provence Ruterra Studio,227945,Alex And Kate,,Praha 3,50.0848,14.4487,Entire home/apt,1184,2,396,2025-03-05,2.76,101,58,56,
1201907,"""APARTMENT №46"" IN CENTER OF PRAGUE",3228013,Kira And Irina,,Praha 2,50.07283,14.43086,Entire home/apt,1973,1,14,2024-05-29,0.10,34,350,2,
1202743,RUSTIC APARTMENTS IN ⭐️ PRAGUE CENTER,3279605,Elena And Kira,,Praha 2,50.07441,14.4294,Entire home/apt,5328,1,11,2018-12-26,0.08,16,364,0,
1221884,Wenceslas Sq & Museum 3 mins walk!,811185,Jaroslav,,Praha 2,50.0777,14.43316,Entire home/apt,,2,238,2025-01-03,1.68,2,0,25,
1230431,Garden apartment near the center,6711190,Lubica,,Praha 7,50.1045,14.4464,Entire home/apt,,3,139,2024-06-03,1.38,2,0,5,
1231557,Cozy apartment with a backyard,4403561,Jan,,Praha 10,50.07123,14.4496,Entire home/apt,2762,3,67,2025-01-04,0.47,1,151,13,
1238371,"Apartment in City Center, WiFi free",6750861,Nadia,,Praha 5,50.07902,14.40655,Entire home/apt,2206,3,40,2024-12-16,0.33,2,263,8,
1244351,Stay Praha Apartment,6095154,Robert,,Praha 1,50.08153,14.42024,Entire home/apt,2837,3,17,2025-02-04,1.55,2,66,17,
1249820,Modern nice flat near to the center,6711190,Lubica,,Praha 7,50.10439,14.44738,Entire home/apt,,5,16,2024-05-20,0.17,2,0,2,
1252184,Classic Luxury in the Old Town,5297514,Wishlist Prague Residences,,Praha 1,50.09027,14.42215,Entire home/apt,2686,1,291,2025-02-22,2.11,41,252,15,
1287418,⭐HOTEL ROOM IN THE CENTER OF PRAGUE 2❤️,3279605,Elena And Kira,,Praha 2,50.07095,14.42898,Entire home/apt,13861,1,192,2022-12-26,1.36,16,365,0,
